Survey Year,Country Name,E-Government Rank,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index,Region
2022,Haiti ,187,0.2481,0.1023,0.0865,0.393,0.2646,Americas
2022,Honduras ,155,0.394,0.1023,0.2417,0.5901,0.3501,Americas
2022,Hungary ,51,0.7827,0.5114,0.7465,0.8345,0.7671,Europe
2022,Iceland ,5,0.941,0.7955,0.8867,0.9657,0.9705,Europe
2022,India ,105,0.5883,0.5909,0.7934,0.5761,0.3954,Asia
2022,Indonesia ,77,0.716,0.7159,0.7644,0.7438,0.6397,Asia
2022,Iran (Islamic Republic of) ,91,0.6433,0.1818,0.4196,0.7804,0.73,Asia
2022,Iraq ,146,0.4383,0.2159,0.206,0.5888,0.5201,Asia
2022,Ireland ,30,0.8567,0.6818,0.7796,0.9618,0.8287,Europe
2022,Israel ,16,0.8885,0.7159,0.8745,0.8994,0.8915,Asia
2022,Italy ,37,0.8375,0.7273,0.8659,0.8606,0.786,Europe
2022,Jamaica ,102,0.5906,0.2841,0.4914,0.7148,0.5658,Americas
2022,Japan ,14,0.9002,1,0.9094,0.8765,0.9147,Asia
2022,Jordan ,100,0.6081,0.5455,0.6594,0.6967,0.4681,Asia
2022,Kazakhstan ,28,0.8628,0.8068,0.9344,0.9021,0.752,Asia
2022,Kenya ,113,0.5589,0.5795,0.6821,0.5641,0.4305,Africa
2022,Kiribati ,148,0.4334,0.2955,0.3686,0.6785,0.253,Oceania
2022,Kuwait ,61,0.7484,0.5455,0.6973,0.7706,0.7774,Asia
2022,Kyrgyzstan ,81,0.6977,0.5,0.6176,0.8119,0.6637,Asia
2022,Lao People's Democratic Republic ,159,0.3764,0.2614,0.3005,0.5468,0.282,Asia
2022,Latvia ,29,0.8599,0.7386,0.8135,0.9284,0.8378,Europe
2022,Lebanon ,122,0.5273,0.3977,0.4257,0.6656,0.4907,Asia
2022,Lesotho ,145,0.4414,0.3068,0.3456,0.595,0.3836,Africa
2022,Liberia ,177,0.2905,0.2955,0.3417,0.4184,0.1115,Africa
2022,Libya,169,0.3375,0.0341,0.099,0.7534,0.1601,Africa
2022,Liechtenstein,25,0.8685,0.5455,0.7329,0.8726,1,Europe
2022,Lithuania ,24,0.8745,0.5455,0.8347,0.9251,0.8636,Europe
2022,Luxembourg,26,0.8675,0.75,0.8319,0.8245,0.9462,Europe
2022,Madagascar ,163,0.3565,0.2841,0.3515,0.536,0.182,Africa
2022,Malawi ,167,0.3435,0.375,0.3607,0.4884,0.1815,Africa
2022,Malaysia,53,0.774,0.6818,0.763,0.7645,0.7945,Asia
2022,Maldives,104,0.5885,0.3068,0.4873,0.6937,0.5845,Asia
2022,Mali ,168,0.3414,0.2727,0.3652,0.2193,0.4398,Africa
2022,Malta ,15,0.8943,0.7614,0.8849,0.8734,0.9245,Europe
2022,Marshall Islands ,160,0.3714,0.2614,0.3004,0.6903,0.1236,Oceania
2022,Mauritania ,172,0.3157,0.0227,0.0952,0.3873,0.4648,Africa
2022,Mauritius ,75,0.7201,0.4205,0.6282,0.7733,0.7588,Africa
2022,Mexico ,62,0.7473,0.7273,0.8245,0.7874,0.63,Americas
2022,Micronesia (Federated States of) ,164,0.355,0.2159,0.2703,0.6845,0.1102,Oceania
2022,Monaco ,73,0.7228,0.1364,0.4588,0.8302,0.8794,Europe
2022,Mongolia ,74,0.7209,0.6023,0.6263,0.8391,0.6973,Asia
2022,Montenegro,71,0.726,0.4659,0.5528,0.8383,0.7868,Europe
2022,Morocco ,101,0.5915,0.2727,0.4721,0.635,0.6676,Africa
2022,Mozambique ,173,0.313,0.1932,0.3563,0.429,0.1537,Africa
2022,Myanmar ,134,0.4994,0.3068,0.3073,0.5829,0.6082,Asia
2022,Namibia ,121,0.5322,0.25,0.4316,0.6516,0.5133,Africa
2022,Nauru ,139,0.4548,0.25,0.2952,0.5925,0.4768,Oceania
2022,Nepal ,125,0.5117,0.2386,0.4592,0.5636,0.5123,Asia
2022,Netherlands ,9,0.9384,0.9659,0.9026,0.9506,0.962,Europe
2022,New Zealand ,4,0.9432,0.9545,0.9579,0.9823,0.8896,Oceania
2022,Nicaragua ,130,0.5032,0.25,0.4809,0.6,0.4287,Africa
2022,Niger ,188,0.2406,0.25,0.3904,0.1915,0.14,Africa
2022,Nigeria ,140,0.4525,0.3068,0.525,0.4439,0.3886,Africa
2022,North Macedonia,80,0.7,0.6932,0.702,0.7562,0.6417,Europe
2022,Norway ,17,0.8879,0.6932,0.8007,0.9528,0.9102,Europe
2022,Oman ,50,0.7834,0.6591,0.7423,0.8067,0.8012,Asia
2022,Pakistan ,150,0.4238,0.3636,0.5658,0.3933,0.3122,Asia
2022,Palau ,132,0.5018,0.2273,0.2373,0.8946,0.3735,Oceania
2022,Panama ,82,0.6956,0.5114,0.6741,0.7525,0.6603,Americas
2022,Papua New Guinea ,170,0.323,0.1705,0.3263,0.4996,0.143,Oceania
2022,Paraguay ,94,0.6332,0.5114,0.6059,0.6947,0.5989,Americas
2022,Peru ,59,0.7524,0.7614,0.8099,0.8207,0.6267,Americas
2022,Philippines ,89,0.6523,0.4886,0.6303,0.7629,0.5638,Asia
2022,Poland ,34,0.8437,0.6477,0.7929,0.9033,0.8348,Europe
2022,Portugal ,38,0.8273,0.7273,0.7954,0.8665,0.8201,Europe
2022,Qatar ,78,0.7149,0.375,0.6094,0.715,0.8203,Asia
2022,Republic of Korea ,3,0.9529,0.9432,0.9826,0.9087,0.9674,Asia
2022,Republic of Moldova ,72,0.7251,0.6818,0.738,0.8613,0.576,Europe
2022,Romania ,57,0.7619,0.625,0.6814,0.809,0.7954,Europe
2022,Russian Federation ,42,0.8162,0.6023,0.7368,0.9065,0.8053,Europe
2022,Rwanda ,119,0.5489,0.6364,0.7935,0.5322,0.3209,Africa
2022,Saint Kitts and Nevis ,87,0.6775,0.2045,0.3307,0.8724,0.8293,Americas
2022,Saint Lucia ,114,0.558,0.4091,0.4007,0.7049,0.5683,Americas
2022,Saint Vincent and the Grenadines ,107,0.5811,0.3864,0.4526,0.742,0.5486,Americas
2022,Samoa ,152,0.4207,0.2727,0.3592,0.747,0.1558,Oceania
2022,San Marino ,90,0.6454,0.1705,0.3788,0.7466,0.811,Europe
2022,Sao Tome and Principe ,154,0.4138,0.0455,0.2435,0.6759,0.3218,Africa
2022,Saudi Arabia ,31,0.8539,0.6932,0.822,0.8662,0.8735,Asia
2022,Senegal ,143,0.4479,0.3409,0.4934,0.3478,0.5025,Africa
2022,Serbia,40,0.8237,0.8068,0.8514,0.8332,0.7865,Europe
2022,Seychelles ,85,0.6793,0.2273,0.4424,0.7758,0.8198,Africa
2022,Sierra Leone ,185,0.2633,0.2045,0.2801,0.2459,0.2639,Africa
2022,Singapore ,12,0.9133,0.9773,0.962,0.9021,0.8758,Asia
2022,Slovakia ,47,0.8008,0.4659,0.726,0.8436,0.8328,Europe
2022,Slovenia ,21,0.8781,0.75,0.8666,0.9439,0.8239,Europe
2022,Solomon Islands ,165,0.353,0.2159,0.3676,0.4925,0.1988,Oceania
2022,Somalia ,192,0.134,0.25,0.2944,0,0.1074,Africa
2022,South Africa ,65,0.7357,0.5909,0.7487,0.7733,0.685,Africa
2022,South Sudan,193,0.0852,0,0.0518,0.2038,0,Africa
2022,Spain ,18,0.8842,0.75,0.8559,0.9072,0.8895,Europe
2022,Sri Lanka ,95,0.6285,0.3523,0.5644,0.7726,0.5483,Asia
2022,Sudan ,176,0.2972,0.0455,0.2118,0.3599,0.3199,Africa
2022,Suriname ,108,0.5809,0.2045,0.3418,0.6921,0.7089,Americas
2022,Sweden ,5,0.941,0.7273,0.9002,0.9649,0.958,Europe
2022,Switzerland ,23,0.8752,0.7045,0.7677,0.9128,0.945,Europe
2022,Syrian Arab Republic ,156,0.3872,0.0682,0.3053,0.4983,0.3581,Asia
2022,Türkiye,48,0.7983,0.7841,0.86,0.8722,0.6626,Asia
2022,Tajikistan ,129,0.5039,0.25,0.3968,0.738,0.377,Asia
2022,Thailand ,55,0.766,0.7841,0.7763,0.7879,0.7338,Asia
2022,Timor-Leste,147,0.4372,0.4773,0.3931,0.5546,0.364,Asia
2022,Togo ,151,0.4231,0.3864,0.4338,0.5508,0.2848,Africa
2022,Tonga ,124,0.5155,0.2614,0.3296,0.8675,0.3496,Africa
2022,Trinidad and Tobago ,93,0.6339,0.2386,0.4892,0.7409,0.6717,Americas
2022,Tunisia ,88,0.653,0.5455,0.6031,0.6911,0.6646,Africa
2022,Turkmenistan ,137,0.4808,0.1023,0.298,0.7892,0.3551,Asia
2022,Tuvalu ,158,0.3788,0.1705,0.2265,0.6492,0.2607,Oceania
2022,Uganda ,144,0.4424,0.4091,0.5169,0.5631,0.2472,Africa
2022,Ukraine,46,0.8029,0.6023,0.8148,0.8669,0.727,Europe
2022,United Arab Emirates ,13,0.901,0.7841,0.9014,0.8711,0.9306,Asia
2022,United Kingdom of Great Britain and Northern Ireland,11,0.9138,0.9545,0.8859,0.9369,0.9186,Europe
2022,United Republic of Tanzania ,153,0.4169,0.2727,0.47,0.51,0.2709,Africa
2022,United States of America ,10,0.9151,0.9091,0.9304,0.9276,0.8874,Americas
2022,Uruguay ,35,0.8388,0.5909,0.7641,0.898,0.8543,Americas
2022,Uzbekistan ,69,0.7265,0.6136,0.744,0.7778,0.6575,Asia
2022,Vanuatu ,135,0.4988,0.3409,0.4228,0.6009,0.4727,Oceania
2022,Venezuela ,128,0.5053,0.125,0.3056,0.8181,0.3923,Americas
2022,Viet Nam ,86,0.6787,0.5341,0.6484,0.6903,0.6973,Asia
2022,Yemen ,178,0.2899,0.1932,0.3393,0.3633,0.1671,Asia
2022,Zambia ,131,0.5022,0.375,0.4414,0.6744,0.3909,Africa
2022,Zimbabwe ,138,0.4717,0.2273,0.3845,0.6463,0.3843,Africa
